1780,00
2100,00
1650,00
2200,00
1850,00
3200,00
3500,00
3800,00
4000,00
3700,00
4800,00
6500,00
7200,00
4200,00
2500,00
2100,00
3800,00
4300,00
2400,00
3000,00
3900,00
2500,00
7500,00
12500,00
4200,00
2500,00
5000,00
6800,00
8500,00
13000,00
4200,00
2800,00
3600,00
6500,00
8200,00
14000,00
4500,00
2400,00
2000,00
5500,00
9000,00
15000,00
4600,00
2600,00
2100,00
5800,00
9200,00
15500,00
5000,00
2800,00
2600,00
3800,00
6500,00
9800,00
11500,00
18000,00
14500,00
13000,00
11000,00
5000,00
9500,00
10500,00
10800,00
9400,00
1800,00
1500,00
1700,00
1200,00
1500,00
1550,00
1700,00
1650,00
2100,00
2000,00
1900,00
4800,00
2600,00
3000,00
4200,00
5500,00
7500,00
9200,00
15000,00
25000,00
28000,00
30000,00
27000,00
32000,00
29000,00
50000,00
45000,00
55000,00
